Verified,Reviews,Recommended
no,"  verified review    manchester to philadelphia. i booked my flights through british airways, but the flights were american airlines. i booked a gluten free meal both ways, using the field in the booking form that ba had provided. when the meals came round, i was told that ba had not passed on my dietary requirements, and all they could offer me was a small salad (half a tomato and some lettuce). when i landed, i emailed british airways to complain, and ask them to ensure i had a gluten free meal on my return. i received no reply, and again there was no food for me on the flight. after countless emails, i finally received a message telling me that even though british airways had a field on their form to ask for my dietary requirements, i should have contacted american airlines to request it. british airways apparently pick and choose which information they send to the carrier airlines. i told them that they shouldn't ask for information that they don't intent to pass on, but was met with the same 'you should have requested it better' line. they are truly incompetent, at one point they started talking about my child - which i don't have. 0/10 for customer service.",no
no,"  verified review    just landed from the second of two flights in first between london and kuala lumpur and on both legs, the experience was exceptional. chose seats 1e and 1f on both legs for my partner and i, and seats were clean, well maintained, fully functioning and very comfortable. ground service at t5 is a vast improvement with the new first wing; passed through quickly and met by attentive staff, with prompt and professional service in the concorde room. golden lounge at kuala lumpur less inspiring but staff very good and nice dinner menu. onboard the staff on both legs were professional, friendly, intuitive, attentive and good natured, and they went out of their way to accommodate our dining requests. flowers in the bathroom (which was kept clean, though a second bathroom would be helpful as had to wait at times) and amuse bouche provided. plenty of wine, no shortage of food and nothing ran out - my glass was never empty and the crew knew when to make the bed up without having to ask. these flights reminded of why we fly with ba and remain loyal to them.",yes
no,"  verified review    frankfurt to london heathrow. three bags belonging to self and colleague checked 26 june at frankfurt on the 1720 flight to london, 2.5 hrs before flight. flight arrived in london (40 mins late) and 1 of 3 bags appeared on carousel (a business flight with virtually no checked baggage on it). courteous customer service personnel in baggage hall took details - noted that ""baggage had not been loaded"". promised that bags would be sent on first flight the next day and should be delivered to our office by 12.00 noon. nothing, and still waiting for delivery at 1510 three days later. how and why 1 out of 3 delivered, and why 48 hours for delivery?",no
no,"  verified review   british airways business class heathrow to accra as the bbc reported ""the most delay-afflicted route. 85 out of 122 - or 70% - of flights on this route were delayed by over 30 minutes last summer"". as a regular on this route i can verify these unacceptable delays. indeed my flight the delay was, as usual, over an hour. the club world product is now very tired and worn - no updates to it despite the constant updates by other carriers. the ba crew were fine, but not given good enough product tools to outshine other airlines. usual chaotic boarding process for this flight - the airlines knows it will have issues with hand luggage, but always board the plane with only thirty minutes to departure. it will never work on this routing. when will ba learn? the seating in the usual ba format for business class is just not keeping up with other airlines - including one world members like qatar, american or royal jordanian. the constant having to lower the divider between seats to serve is both rude and poor service. the comfort is now more akin to ethiopian airlines on their older aircraft rather than that expected of ba. the lhr-acc-lhr route is a money maker for ba - they use their old and tired aircraft on the route and milk it for all it is worth. air france and klm probably offer a better business class service on this route. a great shame to see one of the previously great airlines go down and down in standard.",no
no,"  verified review    london heathrow to seattle. i haven’t even taken this flight yet and i am totally disillusioned. i have flown with british airways 3 times out of manchester and on each occasion the aircraft has had technical problems and this has caused me to miss my long haul connecting flight. on this occasion i have decided to drive down to london heathrow to avoid this issue and now there will be a strike! i telephoned ba customer service today to ask about the laptop situation, after pressing many buttons i was informed all the lines are busy and cut off. i will never book a flight with ba again, even if this means i have a long layover or connection time. this airline is a national disgrace and the british flag should be removed from the livery. if i get on the flight, i will let you know how it is!",no
no,"  verified review    on the 13th june 2017 i travelled from mykonos to london heathrow on ba 651. if british airways are trying to compete with budget airlines they are failing dismally. we were two hours into a four hour flight before the refreshment trolley reached us only to be informed that there were no sandwiches left for us to purchase. all we were offered was a packet of peanuts or a packet of two biscuits. this flight left around lunchtime and i would have thought it would be obvious there would be a large demand for something to eat. to add to the problems of no refreshment being available there was only one card machine in operation. if there is going to be a no cash policy then make sure your staff have the tools to work with. i have today received a telephone call from ba following my initial complaint which really served no purpose. it was a case of sorry but we are working to improve the service which doesn't help me. a service which was very good before the cost cutting.  'we fly to serve' i somehow don't think so anymore. easy jet, ryanair and other budget airlines must be clapping their hands with joy as they will benefit from this shambles. i cannot imagine flying with ba again.",no
no,"  verified review    i was flying back from zurich to heathrow after a visit to see my son. we arrived in time at the airport. check in was quick and friendly. but once we got through security the trauma of ba began. a 2 hour delay on the screen. why didn't they tell us at check-in? yes, they did know as it transpired the flight had a problem earlier in the day. once the boarding began all was okay until we got on one of bas old planes with the most sullen crew you could ever meet. no welcome. the seats were hard and uncomfortable. before taking off the captain explained the delay had been due to a faulty door. the door had now been decommissioned as not for use and hence some seats were empty. a strange explanation and comforting for anyone who had a fear of flying! when the food service came i was asleep but my said they ignored her. when we did arrive at heathrow t5 we ended up at the c gates, so adding another 20 minutes or so. based on this i will no longer pick ba as a preference. the brand once the favourite airline is no longer. ",no
no,"  verified review    rome to heathrow flight on the 23rd june delayed take off over 6 hours due to technical fault. minimal information and absolutely no customer service or support. no refreshments provided. the only information we received was when the captain came of the aircraft to tell us what was happening, he was the only one who cared. ba support and service in rome was non existent. after take off the cabin crew came around with their trolley of drinks and unbelievably i had to pay £2.30 for a cup of tea despite a 6 delay with no refreshments provided. ba is now an overpriced budget airline with no service focus, actually thats unfair to budget airlines who provide much better service. ba has lost the plot.",no
no,"  verified review    chennai to london. what a mistake, i selected this route for a two reasons, i wanted to try the new british airways 787 in club class and the timing. but i have nothing good to say about the whole thing. the lounge at chennai was poor but at least it was near the gate. once aboard the plane we discovered that instead of what i think should be standard in business class there is no direct aisle access for the window seats and if you're in the aisle seat you'll have people climbing over your legs to access the aisle and the hostess leaning over you to serve the person in the window seat, the layout is quite crazy. the seats themselves are fairly standard business class arrangements but its how ba have crammed them all in that's the issue. i had the window seat and initially i found it ok, but as it was a very long all daytime flight i had to dim the window and that's the point you can only dim them down, there is no blind, the sun still shines through, ok i accept it's like looking through very dark sun glasses but it's not possible to cut out the light as you get with blinds. i understand several other airlines are retro fitting blinds on the 787 but this is a major error by boeing. it was my second flight on a 787, both were 11 hour plus flights, the earlier one i made was at night so no issue with the window blinds. i've not noticed any advantage in the higher pressure of the aircraft i find myself just as tired after a flight as i would be on any other aircraft. i'm a long term supporter of ba and i'm so upset that ba are going backwards, focusing on profits and ripping off the customer. sorry ba but there are so many good airlines out there competing for your business please wake up and start delivering service to customers not just cram them in and take the money, because it won't last, people like me will move on.",no
no,"  verified review    flew london gatwick to genoa with british airways. fast check in at the smart new premium area at gatwick. brand new lounge was really comfortable and with a great selection of food, drink and magazines, access to the lounge not very convenient but given the design of the terminal i realize that nothing can be done about that. the gate number was only announced 20 minutes prior to the gate closing and it was 20 minutes away at at fast pace, especially as there was a queue to exit the lounge by the two elevators. on board our club europe seats that we had paid extra to choose, something that no other airline that i know of does with a full business class fare, was behind the curtain. overhead bins were full so ourselves and another 2 club europe passengers had to put their bags further back in the economy cabin without assistance. an engineer was called to try to move the divider and curtain back but it was stuck and remained between rows 2 and 3 with our seats being in row 3. my special meal was not on board however the crew member in the premium cabin was very obliging and a crew meal was provided for the short flight. leg room was atrocious for business class and seats are the same as economy. because the curtain could not be drawn, the business class toilet was used by economy class passengers and at times business passengers had to queue behind them. given the high expectations following the experience on the ground the plane was not up to standard however the service provided despite these lapses was great. had to wait for about 20 minutes for bags despite being the only aircraft at genoa airport. in all this was not a business class quality flight, we should have flown economy for a quarter of the price.",no
no,"  verified review    
flew british airways from beijing to london heathrow. the cabin crew did their best, but they know they are now providing a very inferior product compared to other carriers. cut backs are evident everywhere, from the small and very cheap hot towels (offered only once during the ten hours flight) and the nuts (presented in a packet, other than with other airlines on china and warm - this might seem a small niggle, but it is indication of ba saves costs - by annoying their premium cabin customer). the amenity kits, presented in a shoe bag, is a joke really. to be honest one gets a better premium cabin product from other one world members (royal jordanian and qatar for example). flight left and arrived on time - but the airline should be more than that. the offering within the flight needs to be competitive and regain some ground. was presented, at the second meal serice, with frozen pawns on bread (returned and a de-frosted plate came by return). unsure if prawns being frozen and unfrozen as a good idea - but no effect as yet. part of the seat was covered with food from the previous flight, i covered it up with a spare blanket. despite there being enough toilets for club world passengers there was often a line of people waiting from world traveller plus - snaking past seat in rows 15 and 16. no control of passengers from world traveller plus coming in to the club world cabin. toilets were not cleaned through the flight by crew - twice they were in a bit of state so i ended up cleaning the floor with tissues myself. lovely. shame to see one of the great carriers fall to such low levels.",no
no,"  verified review    flew british airways from corfu to london heathrow. food service a joke. i have never written a review on anything in my life, but how can an airline like british airways spend probably millions of pounds setting up a new food paying service by using an antiquated system of the poor cabin staff needing to find each individual item picture on the hand held computer and check they have entered the correct number of items instead of using barcodes? unbelievable if the company has become so badly managed, (how many quangos to come up with this decision?) that common sense is lost in corporate nonsense. apart from that, flight great, but sorry ba please admit your mistake and put this right. ",no
no,"  verified review    heathrow to santorini. we were at the gate when ba cancelled our flight. we could not get booked on another flight and we got told to go home without our luggage. it took them 4 days to return it. ba will not reimburse us the cost of the flights at £1,200 or the cost of the hotel at £2,000. this is a total disgrace. how can they be allowed to do that? book with another airline to ensure you actually arrive. never experienced such bad customer service and refusing to refund our money is outrageous.",no
no,"  verified review    leeds to durban via london / johannesburg. check in at leeds was efficient. security was slow, so fast track was appreciated. boarding was relatively quick and flight departed early. seating was reasonably comfortable but cramped, and service is basically non existent unless one is prepared to pay for food. transfer at heathrow was a breeze, surprisingly with no further security check. boarding commenced in good time and was quick and smooth onto the upper deck, with a pleasant greeting from the crew. the premium economy cabin is very pleasant with good seat width and legroom. the seats are comfortable, but both our seats were faulty. mine would not stay upright and my wife's would not recline. unfortunately we did not realise the extent of the problem immediately and only reported it next morning. we were moved to business class - we should have reported it immediately! sparkling wine and fruit juice were offered before take off, unfortunately the quality has been hit by cost savings. bar service followed quickly after take off, but again the quality of wines was average and not up to the standard offered by other airline in premium economy. we both ordered beef fillet for dinner - alternative was chicken - which was good and served on proper crockery with decent cutlery. breakfast next morning was economy class fare with plastic cutlery, which along with the cheap and nasty amenity kit lets down the standard and one questions whether the cost saving is really worth the negative impression created. the a380 is very quiet and most passengers seemed to sleep. there were several drink runs during the night, and the cabin crew were quite active. arrival was on time and everything went smoothly. the final connection to durban with ba franchise, comair, was a reminder of the difference between flying in south africa and flying in europe. more space and full service on a one hour flight.",yes
no,"  verified review    i had an early morning flight from london heathrow to dublin to attend a memorial service in ireland. the check-in process seems to have been automated and i am not impressed. i saw an elderly chinese couple struggle with the computers and a uniformed staff member in ba uniform walked away and ignored them. i intervened and assisted. the interior of the aircraft was spotless. however, there was no catering per se other than a to buy marks and spencer items. no cash was accepted and the staff were very embarrassed. the cabin crew were lovely people and deserve better than to have the name of a once proud national carrier reduced to such a miserly product. arrival was punctual.",yes
no,"  verified review    bangkok to luxembourg via london. premium economy on british airways is disappointing. the bangkok to london route is served by b777 aircraft that look like they've seen better days. boarding was chaotic on both outward and return flights. seats are old and worn, not very wide, and with little recline. the ife is poor in terms of choice, the screens are the smallest i've ever seen, and the sound quality is very bad. the food served is ok. service on board during the outward leg was perfunctory but excellent on the return leg, with the cabin attendant who served me being a real credit and asset to the airline. the short haul flights between london and luxembourg (in economy) were good. it's time for british airways to pull up its socks if it wants to compete with the leading asian, middle eastern airlines, or even the better european ones.",no
no,"  verified review    london heathrow to paris orly. i have been a gold member of ba over 25 years making approx 100 flights per year we have been through ash clouds, strikes, it breakdowns and weather and of late the spiral of poor response has picked up pace. i didnt think it could get worse but it did. arrived at the airport and my app said on time, screens said on time but my independent tracking app said 3 hours delay. in the first class lounge i was told short delay. knowing how inaccurate ba can be i asked to speak to special services. one hour later i asked again. i got an arrogant manager who lectured me that she was only two on duty, take it up with alex cruz and there were more important flyers like royalty and celebrity. unimportant is how i felt after 25 years of gold guest list. she then told me the flight was cancelled and said i would have to either accept the flight the next morning or make my own arrangement .staff didnt know how to get people out of the airport and despte flights on time for charles de gaulle no alternative was offered. i had to concede and cancelled critical business discussion and then beg ba for a refund which they tried to sidestep. the moral of this story is when your gut tells you trust has gone believe it and at ba it is systemic lack of honesty and transparency and it all points to the ceo. the other interesting fact is i did look at choices before booking including easy jet <100 pounds air france 500 pounds and foolishly i felt loyalty meant something. not at this airlin . the salt in the wound is that easyjet and af got to their destination on time and no doubt executives on those flights are enjoying a good business day in france. it is incredible that one airline who carry's the british flag is such a disgrace. i am sure that a small percentage are satisfied but looking at the chaos and disbelief in the lounge last night echoes the most common phrase heard in airline speak. what has happened to ba and we wont fly them again.",no
no,"  verified review    flew new york jfk to copenhagen via heathrow. have flown premium economy (pe) on cathay, singapore, lufthansa and air france. by far, british airways is the worst! world traveler plus just means plus $$$$$, everything else is downhill. seats were cramped, recline only a few millimeters, food awful, sorry but that is the best adjective to describe what was served. amenities practically non-existent and wrapped in cellophane, tube of toothpaste (if only the cap would open) could only fulfill brushing requirements for half a mouthful of teeth, no covers for the headphones. totally inadequate for the money paid and shaming the word premium economy. before i forget, the boarding service was confusing, calling colors gold, silver, sapphire, etc. people just rushing the line and the staff losing their voice, screaming for order. why not just call the way you sell - first, biz, premium, economy. trying too hard to be fancy.",no
no,"  verified review    flew london to hamburg. i cannot believe that an airline like british airways have to compete with the likes of ryanair and easyjet and stopped complimentary cabin services - no drinks, no snacks. they should be ashamed of themselves to put themselves a class on par with low cost airlines.  i am now cofused why i should ever fly british airways vs low cost airlines. i was recently also flying on club world. my luggage was tagged priority. but waited on arrival for over 30mins - non priority bags came out mixed with priority - british airways policies and operations are clearly confused and it's losing its edge as a world reknowned airline.

",no
no,"  verified review    british airways charges a big premium for premium economy. i sat on the top floor of the a380 after being upgraded from world traveller at the gate, and enjoyed an aisle seat flying from singapore to london heathrow. there were two dinner options, chicken tikka or beef fillet, but as i dozed off i missed out. so no food until 1 hour before landing (11 hours later) unless i wanted to pay for chocolates with a credit card. i kindly asked for some water, got some orange juice too - didn't want to push it even though i saw a bottle of champagne open in the galley - not worth the risk of a bad reaction. i cannot recommend this cabin based on the high prices they charge. the staff mean well - however a gulf of enthusiasm exists between them an singapore airlines, qatar, cathay etc. it's not cultural, it's just indifference. will continue to book ba for cheap economy (product/service offers almost no difference) and enjoy upgrades where given.",no
no,"  verified review    singapore to london. i have started to take british airways as it's a corporate requirement. the business class (club world) is more like premium economy. the seats are small and uncomfortable especially with the layout for the passenger sitting next to the window - you are basically trapped inside and you'd have to disturb the other passenger to get out. furthermore, the ""bed"" does not extend fully so it uses creatively a makeshift ""fold down stool"" - if you apply too much pressure on that stool, it unlocks itself and seem to break off from the latch - it's just flimsy! the food is very low quality and tatstes bland - i have already tried the regular meal and special meals - don't bother. the service is poor with a crew that is  not bothered to provide for the comfort of business class passengers. overall, i am very disappointed.

",no
no,"  verified review    this was my first flight from toronto to london crewed by ""mixed fleet"". easy check-in at toronto pearson (the ba ground staff are always great in toronto) with fast track meant i was in the lounge 20 mins after arriving at the airport. the lounge remains well run with ok food and a limited (average) wine list. still too few bathrooms, the seats are tatty, and when busy is not a relaxing place to be. easy boarding and the first of a few improvements - prosecco now served to london. (used to be only ex london). fast drinks service after take off with pretzels now back on offer. an ok chicken curry was served but i still don't see it as biz class food. a choice of whites and reds wine was offered which reinstates the previous one of each. that is where the improvements ended. the morning offering of a cereal bar and t&cs / juice remains an insult and just shows how little ba care about the entire journey customer experience. the crew on this flight were great. young, junior and inexperienced for sure but the two women working my side were friendly and professional. a request for a top up of prosecco was missed due to a short taxi, but appeared (in glass) without asking as soon as the crew were released - classy and well remembered! the return flight was less good. drinks served promptly after take off and my pre-booked meal arrived first but on the wrong tray. (crew member's first flight since qualifying) it took some convincing that the plastic cutlery etc was not a wtp tray. the underwhelming snack replacing the second meal was one fun size piece of chocolate and t&c. customers taking a second chocolate were made to put it back (really) as apparently they are counted out to the exact number of passengers. this cut to service on both legs continues to leave me troubled as after 5 hours i need something more substantial than chocolate. service reduced - yes, price reduced - no! the 777's in both directions were clean though unless you sit in the first row of wtp, the ife screens are tiny. mixed fleet were generally more friendly and interested in making an effort. however, the male crew were more aloof, lacked attention to detail and officious. what these (newer) crews miss, was the more informal / laid back service of long haul crew - i hope they relax into the role soon! at least the cuts have stopped (not much left to cut i admit) and small things like choice of wine and pretzels show ba have listened. however, the second meal in both directions being cut on east coast us / canada routes remains a sore on what was otherwise an ok journey. the jury remains out on whether i continue my loyalty to ba and one world - it really depends on what ba do next - to either value me as a customer (and offer a quality service) or sink even lower in standards from what was once a great airline (at which point - i'm off).",no
no,"  verified review    i arrived at london heathrow in transit with a british airways flight on to another ba flight. the aircraft was there, still boarding, my bag was checked-in for my final destination but i wasn't! they forgot to check me in for my full journey at departure. they didn't let me board, and made me stay overnight. i have never seen such level of stupidity, bad management and poor service.",no
no,"  verified review   the crews on both the outbound and inbound flights from johannesburg to london were very young, unprofessional, and were missing the special character and wit that used to make the british airways crews special and outstanding. they were basically (on both flights) rushing through the service and not to be seen for the next 8 hours before the breakfast service. on both flights, there was no water offered during the night, which is really a shame considered the price difference between economy and premium. the meals were overcooked, and on both flights the knives could not cut through the ""best of british beef"". given that the hot meals are the same than in club (according to ba's marketing), i would have been furious if being offered this quality of food in business class. a perfect example of unprofessionalism of the crew was when i got up after dinner and went to the galley (as nobody cared to answer the bell) and asked for a baileys: the young attendant looked at her coworker and asked her what a baileys was, and the answer came ""sorry sir, we don't have that kind of wine. would you like some white?"" i am missing the good old ba and will take my business to some other reputable airlines in the future, even if it means paying a few hundreds more.",no
no,"  verified review    flew valencia to london gatwick with british airways. check in was a bit disorganised as the check in for business class had a problem with the computer so this caused a delay. security was a bit slow (no fast track). business class lounge is quite large but refreshments poor, note this is not a ba lounge as they only have one flight a day and is provided by a local partner. boarding was a disaster, we were called to board but then waited on the air-bridge for over 20 minutes. the air-bridge was made of glass and was full of people and it soon became very uncomfortable as there was no ac or ventilation and some people seemed close to passing out. eventually we all returned to the terminal as there was a problem on the plane (apparently a problem with the curtain structure that divides business from economy). there was no communication from the ground staff, which although not ba staff reflects badly on the airline. once we were finally on-board the flight was trouble free. good service. hot meals served but the pasta we chose was not very pleasant. plane arrived only 10 minutes late having made up a lot of time from the initial delay. priority baggage worked as our case was on the carousel as soon as cleared passport control. would have been a nice trip back bar the problems in valencia airport.",no
no,"  verified review    london heathrow to edinburgh return, possibly my last ba flights. i used economy (or maybe should be re named) economy minus outbound and returned in club europe, checked in online however 4 of the 5 checking in kiosks were not working at t5 so in the end collected the boarding pass from the desk. security quick i'm a ba/oneworld sapphire member so used the north lounge which was okay. flight boarded on time but departed 15 min late and arrived 15 min late. a320, seat 11a an exit seat was fine however no service at all on board. return check in quick as was security, the ba lounge in edi has been the same for a few years now. it's at least quiet with nice staff and pleasant staff. boarding through gate 20 on to a pretty old 767 departed 30 min late. club europe on domestic flights is a new introduction. actually it replaced what was ba economy class. a cynical ploy by the ba board to extract more money out of its loyal customers? the aircraft was pretty full so some people like ba although i suspect many passengers were transferring at lhr. service was okay food economy standard although included in the price. arrival at t5 around 30 min late 10 min for bags. i fly between 20 & 30 times each year 90% on long haul flights. i have supported ba in the past although i've not used them long haul for about 17 months. basically they are not good enough. cut backs and poor service is evident. i expect security comfort and some service when paying £2500+ for a business class ticket. qatar, cathay and even srilankan offer better service. on reflection i fly business class on most flights so i don't actually need any frequent flyer status. the cost of loyalty outweighs the benefits. i might fly ba in future as a very last resort or to use up the miles i've earned. but my loyalty will be my wallet in future. bye ba.",no
no,"  verified review    london to valencia in an a319 in club europe. this was the first time we had flown british airways since the move to the south terminal, check in was quick and progress through security also without delay. ba lounge was busy but still plenty of seating available. refreshments in the lounge ok, but nothing special. boarding on time, cabin crew in club europe were very pleasant and efficient as i always find with ba. meal service surprisingly good for a relatively short flight, three courses quite tasty including smoked salmon starter, thyme roasted chicken for main course and chocolate cheesecake, washed down with a couple of glasses of champagne. note ba no longer use miniature bottle and pour as required from proper sized bottles. cheese and crackers a bit sad and the cracker were soft. plane landed ahead of schedule but priority baggage didn't work and our cases was about the last through. overall a good flight.",yes
no,"  verified review    brussels to rome via london. there are no substantial differences to the service offered by a low-cost airline: no free food/beverage, little leg space, choice of seets only for extra payment, etc. however, the price i paid was at a low-cost level as well, so the value for money is ok.",yes
no,"  verified review    awful, cost cutting beyond belief. dirty aircraft, uncomfortable seats, inflight entertainment is something that would have existed in the 80s, has been the same for several years. no meal choice (meat). either one meat or veg. half empty cabin across the entire flight, ran out of alcohol too. ba have and are continuing to cost cut, but they haven't cut their prices to reflect this. i would seriously fly someone else. enough is enough, you've had my 15 years of loyalty silver exec club member or not, i'm off - and will advise others to do the same. i cannot give a 0 out of 10, the 1 is purely for the cabin crew who are embarrassed by what is now budget airways.",yes
no,"  verified review    london heathrow to madrid. an absolute third world experience once i got on the plane. check-in and lounge experience were great, but once i got onboard it became obvious how clapped out some of the 767 aircraft are. there were seats with missing backs and 'do not occupy' covers in front and beside them, random bits of electrical wiring hanging down from rails in the overhead, and grimy, yellowed staining around most of the cabin interior. you have to worry about what's going on the important bits, like the engines, if the same standard is applied outside the aircraft as in the cabin. the crew spent as much time as they could in the galley, and interacted with passengers as little as possible. the breakfast service was a salt-infused hot cooked offering, and just one run of drinks. anything else you wanted you had to use the call button. the one and only reason i booked this cabin was that it was actually just a few pounds more expensive on the overall ticket routing i'd bought.",no
no,"  verified review    gatwick to alicante. my wife, my son (4) and me all flew ba euro club on our way to alicante, for some reason when booking club it was the same price as normal so it was a no brainer. my son has autism so we found the quite lounge amazing way to start our trip as he was very calm before. the staff at ba were very friendly before and on the plane which was a nice touch. club euro is a decent service if you pay a little extra, the lounge is a nice start then the extra service is nice on the plane, its a shame like all the other reviews point out the seats are the same it would be nice to have slightly more legroom",yes
no,"  verified review    gatwick to antigua. a frequent flyer with ba for over 15 years, silver exec club, i have seen the steadily decline of this airline particularly over the past 18 months / alex cruz take over. my partner and i fly regularly in eco/prem and club depending on prices, so have seen the decline across all classes. recent trip to antigua from lgw was awful. a pretty empty cabin, filthy isn't the word, awful in flight entertainment (rockwell) that hasn't changed in 10 years easily. food choice is no longer a choice, its a meat dish or veg. alcoholic beverages are loaded at origin (lgw) for both legs, so they have now halved what they usually stocked previously. 3 hours into flight there was no spirits left - bearing in mind only one drink had been served prior to the meal service 1.5 hours in to the flight. ba state in their motto ""to fly, to serve"". yes they certainly are flying, but most certainly not serving. the cabin crew are ashamed and embarrassed at the cuts which is evident in their conversations at the back of the aircraft, and to anyone who speaks to them they are disgusted with what the bosses have done. they have cheapened the brand of the national carrier, but haven't cheapened their prices. easyjet and ryanair offer superior, and on long haul its got to the point i will now fly virgin and others, again offer more for your money in all aspects of the flight. stop trying to make ba budget, we want it back to how it used to be! all i can say is the compensation passengers will be receiving following the major it glitch a fortnight ago is one way of paying customers back for the awful attitude and decline in british airways.",no
no,  verified review   london city to milan. the price of the ticket about £500 for a 2 hour flight - had no relationship to the ultra-economy service on this flight. the aircraft was very dirty - i wonder whether ba pays for fewer cleaners as other airlines don't seem to have filthy aircraft. in business the seats are identical to economy so what are we actually paying for? there is no place to power devices and forget wifi or overhead screens. in business the food was an awful english breakfast. no better than economy. the embarrassed flight attendants seemed to give all the business passengers champagne to take-away to try and make up for the no-frills service. it feels chronic under investment for years has left this a bare-bones airline milking short-term profits and forgetting that their business model should be more than just for 1 year.,no
no,"  verified review    flown economy premium boston-london heathrow-geneva. again as too often with british airways nowadays, flight left more than an hour late due to a plane technical problem. as a consequence our connecting flight in lhr was missed, had to wait for 5 hours at lhr although there were earlier flights. since our late arrival was known by ba at least 5 hours in advance why didn't they at least pre-book our connecting flight from lhr. long queues at rebooking desk, very little care of customers. then again flight from lhr left late! breakfast on board long haul miserable. service on board short haul now equals those of charter flights. although i have been travelling with ba for 25 years with silver and gold status, i will avoid flying with ba again and for sure let know around me that this airline is even not a shadow of what it used to be.",no
no,"  verified review    gatwick to bordeaux. awful, newish a320 cramped seats. the new buy onboard from m&s does not work! it takes the cabin crew the entire flight to work just about the whole economy cabin, with some people not even getting served. at least easyjet and ryanair have this down to a tee and serve promptly. ba has gone downhill, and nothing but sad customers and embarrassed cabin crew. ba certainly isn't cutting prices of flights. ryanair and easyjet offer many similar routes with half the price as ba. i know where i will be taking my custom in future. ",yes
no,"  verified review    london to boston return in premium economy. another very disappointing flight experience with ba. overall a low cost experience at a premium price. baggage drop in t5 is now self service unless you fly business or first, which feels like easyjet. lounge was very busy and choice of food very limited.  the plane was a 23 year old b747, which seemed to be in its original or close to original configuration. the screen in the seat in front of my was the size of my iphone and the choice of movies was very limited. the cabin crew was friendly and did their best to operate in horrible conditions. food was not edible, i tried the beef option but could not eat it. what i found truly shocking was the snack in morning of the return leg was nothing more than a muesli bar in premium economy. -cost savings taken to ridiculous levels at ba. they have even managed to find a way to economise on the quality of the sleep mask supplied (no more cotton or other skin friendly material on the inside but awful full nylon / polyester material and only one instead of two straps on back). i am taking my business elsewhere and only use ba to spent the avios.",no
no,"  verified review    istanbul to london on a reasonably priced airfare. check-in experience was quite good with friendly staff member at istanbul airport who took my portable phone charger from me. departure lounge was a bit chaotic due to the laptop ban and checking each passenger's bag manually. on board was average to say the least, in fact it was surprising and a bit disappointing that on british airways the passengers have to pay for food and drink (nice products but very overpriced). also, there was no inflight entertainment and the cabin crew were indifferent. the seats on the a320 were also quite hard and uncomfortable. the whole product offering is not good compared to other competing airlines on this route (who have wifi on many flights, food and drink, ife). the experience was more like a low cost carrier. i don't think i'll bother to fly them again unless i have to.",no
no,"  verified review    london to mumbai. terrible customer service. i have benn trying to change my flight with them for the last three days, and they keep blaming the travel agent, even through the ticket was issued by ba, after the meltdown on the 27th. if you get through to their india call center you might as welll hang up the phone, as they are rude and all they will do is keep blaming the third party, will inturpt you when you are trying to speak, just awful service. agree british airways is going downhill. been a silver member for many years, need to look for another provider. just awful customer service which ba, won't care to look into.",no
no,"  verified review    i am a frequent flyer with british airways, having held silver membership for years. on this instance, i flew ba's short-haul business class. while you're essentially in the same cabin as everyone else, you should get a meal onboard (something i had counted on) and the seat next to you should be left empty. i fly this route around once every other week, but have been ba to long-haul destinations (hong kong, beijing, nyc, d.c. and san francisco) several times a year, my experience on this flight tallies with the other flights i have taken this year on the same and other routes. the aircraft came in late, which is a common occurrence with ba these days. except for me, nobody in business class had an empty seat next to them. we were then informed by the overworked and tired flight attendant that no food had been delivered, although we 'might be' able to obtain food vouchers once we get to lcy. in short, the product was exactly the same as economy class but at an added premium of at least the price of your regular economy ticket. this was complemented by slow and unfriendly check-in staff, an old aircraft, and a good hour i had spent on the phone with unaccountable and disinterested ba customer service to work out if the online upgrade had gone through. on the whole, a number of instances that simply add up make me feel that ba is very much going in the wrong direction. they might be cheap, but can't and shouldn't compete with low-cost carriers or indeed asian airlines that have lower overhead costs.

",no
no,"  verified review    my wife and i were very disappointed with our british airways flights from sydney to london return, flying premium economy. the food quality, cutlery and service was of a much lower standard than other airlines such as air new zealand and qantas that we have used. there are no toilets allocated for the cabin, and are located at the middle of the economy cabin, quite a long walk and at times a very long line of other passengers waiting to use them. the seats are a bit more comfortable and spacious than economy class, the entertainment viewing screen is ok as are the films music and earphones. ba don't offer priority check in at airports as do other airlines. we would not fly with ba premium economy again, it is not worth paying the much more expensive fare than the standard economy fare.

",no
no,"  verified review    london to hong kong on a very new b777-300er. i was upgraded to wt+ at the gate, owing to a full flight and probably being an emerald with oneworld. i can now distil the difference in service/product with economy on the same route - with wt+ you will receive one amenity pack (eyeshades, socks, toothbrush), one welcome drink (""cava or water""), one glass for drinking with the first meal, a slightly wider seat (1 inch), minor extra recline (1 inch) and a little extra legroom, as well as a meaty dish for the main dinner (i am vegetarian so picked the vegetarian, which was the traditional ba carby pasta from wt, which was fine). i enjoyed the ife, the crew were nice and the flight on time. i wouldn't pay a premium of more than £50 for the wt+ experience for this flight, or other wt+ routes. as a service, it's not really premium economy, in fact it's inferior to economy offered by 5 star carriers.",yes
